city;city_ascii;state_id;state_name;county_fips;county_name;county_fips_all;county_name_all;lat;lng;population;density;source;military;incorporated;timezone;ranking;zips;id
North Fort Lewis;North Fort Lewis;WA;Washington;53053;Pierce;53053;Pierce;471221;-1225966;5009;328;polygon;VRAI;VRAI;America/Los_Angeles;3;98433;1840042007
Bangor Base;Bangor Base;WA;Washington;53035;Kitsap;53035;Kitsap;477227;-1227146;6358;221;polygon;VRAI;VRAI;America/Los_Angeles;3;98315;1840036750
Fairchild AFB;Fairchild AFB;WA;Washington;53063;Spokane;53063;Spokane;476187;-1176485;2960;172;polygon;VRAI;VRAI;America/Los_Angeles;3;99011;1840073916
McChord AFB;McChord AFB;WA;Washington;53053;Pierce;53053;Pierce;471328;-1224924;3337;216;polygon;VRAI;VRAI;America/Los_Angeles;3;98439 98438;1840073929
Whidbey Island Station;Whidbey Island Station;WA;Washington;53029;Island;53029;Island;483387;-1226616;1938;113;polygon;VRAI;VRAI;America/Los_Angeles;3;98277 98278;1840073897
Fort Lewis;Fort Lewis;WA;Washington;53053;Pierce;53053;Pierce;470955;-1225672;13920;525;polygon;VRAI;VRAI;America/Los_Angeles;3;98439 98433;1840073933
Dover Base Housing;Dover Base Housing;DE;Delaware;10001;Kent;10001;Kent;391179;-754839;3200;1686;polygon;VRAI;VRAI;America/New_York;3;19901;1840073616
Schofield Barracks;Schofield Barracks;HI;Hawaii;15003;Honolulu;15003;Honolulu;214936;-1580617;20229;2818;polygon;VRAI;VRAI;Pacific/Honolulu;2;96857 96786;1840075052
Kaneohe Station;Kaneohe Station;HI;Hawaii;15003;Honolulu;15003;Honolulu;214451;-1577515;11198;981;polygon;VRAI;VRAI;Pacific/Honolulu;3;96734 96863 96744;1840075025
Wheeler AFB;Wheeler AFB;HI;Hawaii;15003;Honolulu;15003;Honolulu;214735;-1580346;2672;398;polygon;VRAI;VRAI;Pacific/Honolulu;3;96789 96786 96854;1840075054
Hickam Housing;Hickam Housing;HI;Hawaii;15003;Honolulu;15003;Honolulu;213311;-1579475;8931;748;polygon;VRAI;VRAI;Pacific/Honolulu;3;96853 96818;1840075009
Iroquois Point;Iroquois Point;HI;Hawaii;15003;Honolulu;15003;Honolulu;213232;-1579775;3710;2707;polygon;VRAI;VRAI;Pacific/Honolulu;2;96706;1840029590
Eglin AFB;Eglin AFB;FL;Florida;12091;Okaloosa;12091;Okaloosa;304592;-865499;2065;263;polygon;VRAI;VRAI;America/Chicago;3;32542;1840073828
Patrick AFB;Patrick AFB;FL;Florida;12009;Brevard;12009;Brevard;282346;-806079;1442;180;polygon;VRAI;VRAI;America/New_York;3;32925;1840042859
Homestead Base;Homestead Base;FL;Florida;12086;Miami-Dade;12086;Miami-Dade;254936;-803911;843;76;polygon;VRAI;VRAI;America/New_York;3;33039 33033;1840073841
Tyndall AFB;Tyndall AFB;FL;Florida;12005;Bay;12005;Bay;300856;-856075;3557;94;polygon;VRAI;VRAI;America/Chicago;3;32403;1840035791
Warren AFB;Warren AFB;WY;Wyoming;56021;Laramie;56021;Laramie;411488;-1048618;2208;177;polygon;VRAI;VRAI;America/Denver;3;82005 82001;1840074698
Fort Dix;Fort Dix;NJ;New Jersey;34005;Burlington;34005;Burlington;400059;-746089;8032;303;polygon;VRAI;VRAI;America/New_York;3;08640;1840005516
McGuire AFB;McGuire AFB;NJ;New Jersey;34005;Burlington;34005;Burlington;400285;-745883;5397;386;polygon;VRAI;VRAI;America/New_York;3;08641 08562;1840073621
White Sands;White Sands;NM;New Mexico;35013;Doña Ana;35013;Doña Ana;323808;-1064837;1225;137;polygon;VRAI;VRAI;America/Denver;3;88002;1840019417
Cannon AFB;Cannon AFB;NM;New Mexico;35009;Curry;35009;Curry;343885;-1033185;2654;176;polygon;VRAI;VRAI;America/Denver;3;88101 88103;1840073903
Holloman AFB;Holloman AFB;NM;New Mexico;35035;Otero;35035;Otero;328483;-1060998;3996;122;polygon;VRAI;VRAI;America/Denver;3;88330 88352;1840037076
Lackland AFB;Lackland AFB;TX;Texas;48029;Bexar;48029;Bexar;293866;-986179;6537;594;polygon;VRAI;VRAI;America/Chicago;3;78236;1840074237
Randolph AFB;Randolph AFB;TX;Texas;48029;Bexar;48029;Bexar;295301;-982787;1118;104;polygon;VRAI;VRAI;America/Chicago;3;78150 78148;1840043403
Fort Hood;Fort Hood;TX;Texas;48027;Bell;48027|48099;Bell|Coryell;311345;-977797;26472;651;polygon;VRAI;VRAI;America/Chicago;3;76544;1840073932
Laughlin AFB;Laughlin AFB;TX;Texas;48465;Val Verde;48465;Val Verde;293568;-1007828;1996;120;polygon;VRAI;VRAI;America/Chicago;3;78843 78840;1840037090
Fort Bliss;Fort Bliss;TX;Texas;48141;El Paso;48141;El Paso;318137;-1064119;10188;632;polygon;VRAI;VRAI;America/Denver;3;79906 79908 79916 88510 88511 88512 88513 88514 88515 88517 88518 88519 88520 88521 88523 88524 88525 88526 88527 88528 88529 88530 88531 88532 88533 88534 88535 88536 88538 88539 88587 88589;1840073931
Fort Polk North;Fort Polk North;LA;Louisiana;22115;Vernon;22115;Vernon;311031;-931793;2432;112;polygon;VRAI;VRAI;America/Chicago;3;71459 71446;1840073836
Fort Polk South;Fort Polk South;LA;Louisiana;22115;Vernon;22115;Vernon;310512;-932159;9293;582;polygon;VRAI;VRAI;America/Chicago;3;70656 71459;1840073837
Kodiak Station;Kodiak Station;AK;Alaska;2150;Kodiak Island;02150;Kodiak Island;577451;-1525443;1364;22;polygon;VRAI;VRAI;America/Anchorage;3;99615;1840075081
